Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,42,3,0.020,1784275520964401.616	,1784275520964401.636	
0,MhcPreSinkhornBackward_2ca8595c2fad522789328384a1f15a43_0,MIX_AIC,35,0,171.943,1784275521427536.889	,1784275521427708.833	
0,N/A,PROFILING_DISABLE,42,4,0.020,1784275521430301.204	,1784275521430301.224	
0,N/A,PLACE_HOLDER_SQE,42,5,0.020,1784275521430356.165	,1784275521430356.185	
