Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,14,3,0.000,1784269985844918.870	,1784269985844918.870	
0,MhcPreCmhc_0ed13a8499eee611c9706b41c90b9be7_0,MIX_AIC,19,0,65.681,1784269986286818.319	,1784269986286884.000	
0,N/A,PROFILING_DISABLE,14,4,0.000,1784269986290030.183	,1784269986290030.183	
0,N/A,PLACE_HOLDER_SQE,14,5,0.000,1784269986290084.344	,1784269986290084.344	
